dft,model
-5.704837702,-5.715358734
-4.97957311,-4.975655079
-5.379955475,-5.379370213
-4.635077547,-4.63544178
-4.609327387,-4.617310047
-4.771165171,-4.770834446
-4.591188927,-4.595303059
-4.549167973,-4.556506634
-4.898332279,-4.904871464
-5.609755157,-5.606974125
-4.534581857,-4.536499023
-5.758431403,-5.737970829
-4.79229435,-4.794045448
-4.813390152,-4.813244343
-4.884511082,-4.887718201
-4.76122999,-4.760870457
-5.038288821,-5.044372082
-4.690653516,-4.6878438
-4.555763833,-4.569604874
-4.579017366,-4.584597588
-4.764187251,-4.764840603
-4.42919486,-4.424234867
-5.28415856,-5.280510426
-4.586732581,-4.592070103
-5.273230254,-5.271532536
-4.393250089,-4.397974968
-4.464369332,-4.466548443
-4.77099618,-4.770595074
-4.63874407,-4.640117168
-4.771798258,-4.771903515
-4.98484707,-4.976904869
-5.30356681,-5.305696964
-4.606423278,-4.611774921
-4.329085441,-4.336899281
-4.685612954,-4.685004711
-5.444380586,-5.44353199
-4.098611192,-4.101791859
-6.003568684,-6.011860371
-3.970361804,-3.972052574
-4.274467456,-4.278138638
-4.786940623,-4.791247845
-4.277914678,-4.27940321
-5.096062828,-5.105787754
-4.548501891,-4.553107738
-4.48584144,-4.482505322
-5.148025825,-5.149103642
-4.672573859,-4.669715405
-5.294217377,-5.30518961
-4.491684269,-4.490957737
-4.842255049,-4.848440647
-4.782080645,-4.779844761
-5.908068665,-5.901482105
-4.421388836,-4.424118519
-4.758757849,-4.758543968
-4.768786185,-4.769315243
-4.638962507,-4.637549877
-5.091472688,-5.093977451
-4.782198726,-4.784461021
-4.398208545,-4.402811527
-4.37234755,-4.371731281
-4.660889773,-4.669211864
-3.884989037,-3.885482788
-4.679821362,-4.681245327
-4.639602719,-4.640928745
-4.894223574,-4.899062634
-4.551041128,-4.560161591
-4.564514004,-4.574922562
-4.712697425,-4.710837841
-4.758882768,-4.759639263
-4.376962229,-4.374825001
-4.996749778,-4.994859695
-4.375129166,-4.375041008
-5.243479376,-5.250181675
-4.561291658,-4.568891048
-4.687399102,-4.689408779
-5.358790006,-5.347033024
-4.582239973,-4.582039356
-4.773301146,-4.770515919
-4.436048297,-4.438560963
-3.740484746,-3.74129343
-4.35615126,-4.359764576
-4.60278326,-4.611546993
-4.767881817,-4.767734528
-4.836480478,-4.835711956
-3.612970282,-3.615355015
-4.321577916,-4.326657772
-4.797243289,-4.797392368
-4.349965599,-4.357769489
-4.683448232,-4.67838335
-4.03950474,-4.03929472
-4.966486596,-4.965833187
-4.69713441,-4.696662426
-4.844122035,-4.846654892
-4.128941472,-4.127135754
-4.797253261,-4.796483517
-4.32380122,-4.331436157
-5.599216685,-5.598329067
-4.777343258,-4.776905537
-3.951375718,-3.950909615
-4.91674668,-4.904728413
-5.109902482,-5.111172199
-5.416616251,-5.41584444
-4.920664095,-4.915272713
-4.64799728,-4.649810791
-4.684978984,-4.683954716
-4.588015807,-4.592272758
-3.537090617,-3.538279295
-4.568416253,-4.573459148
-4.54090432,-4.548579693
-4.657196936,-4.655138493
-4.895065514,-4.900924206
-4.579398415,-4.579134941
-4.589376488,-4.596960545
-4.66392925,-4.666388512
-4.612257528,-4.613693714
-4.255920668,-4.255560398
-4.625481497,-4.628128529
-4.764227911,-4.766199589
-4.554856068,-4.568279743
-5.061950931,-5.064775944
-4.635494519,-4.635532379
-4.38232757,-4.386648655
-5.444758139,-5.44030714
-4.470943267,-4.463635445
-4.660807622,-4.661403656
-4.376317428,-4.375333309
-5.488949286,-5.490781784
-5.32689467,-5.320133209
-4.755494533,-4.756528378
-4.649502422,-4.655422688
-4.541514685,-4.541594028
-4.618573044,-4.620837688
-5.645361652,-5.643875599
-4.220392263,-4.219299793
-4.19885327,-4.202251911
-4.77472841,-4.773580551
-4.803898071,-4.81423521
-3.835434656,-3.832223892
-4.57137378,-4.582055569
-3.475982245,-3.47691226
-3.879619545,-3.881964445
-4.962553821,-4.995831966
-4.246720608,-4.246007919
-4.712139559,-4.715380669
-4.484051042,-4.487517834
-4.85893029,-4.857415199
-4.481783632,-4.480532646
-4.527125789,-4.525934696
-4.6245462,-4.616042614
-5.571527992,-5.573034286
-4.778249897,-4.778081417
-4.198142828,-4.203339577
-4.609494218,-4.616235256
-5.443610571,-5.43912077
-3.264700988,-3.269107342
-4.587162641,-4.593047619
-4.768368568,-4.767895222
-4.615311717,-4.619533539
-4.661858444,-4.663651466
-4.656486707,-4.655484676
-4.584230899,-4.598109722
-4.487417718,-4.491064072
-4.267694731,-4.270982265
-4.905338836,-4.917145729
-4.769399782,-4.768736362
-4.849903655,-4.853821278
-5.225310623,-5.23120451
-5.094308251,-5.102645874
-4.486086135,-4.482824326
-5.132185123,-5.141468525
-4.589189901,-4.593746185
-5.243594242,-5.235340595
-3.584867308,-3.585335255
-4.8254526,-4.831466198
-4.72020842,-4.717298985
-3.936723938,-3.939035416
-4.358710804,-4.363819599
-4.766718028,-4.765787601
-4.437327357,-4.444809437
-4.50635755,-4.516849041
-5.211147156,-5.215163231
-5.646644992,-5.642505646
-4.731906795,-4.734231472
-4.829215488,-4.833788395
-4.659116553,-4.65457201
-4.214507047,-4.212216854
-5.703895176,-5.703096867
-5.147254797,-5.149451733
-5.218942863,-5.222949505
-4.782522008,-4.782186985
-4.678890113,-4.67513895
-5.185648918,-5.189836979
-4.979229474,-4.97289753
-4.780565005,-4.780509472
-4.58754977,-4.582098484
-4.431438821,-4.432930946
-5.73912056,-5.741231441
-4.082367234,-4.087775707
-5.707979478,-5.705898762
-4.221375388,-4.219276905
-4.278191141,-4.274344444
-4.665193574,-4.668740749
-4.707183811,-4.716419697
-5.674376937,-5.670665264
-4.74920891,-4.747669697
-4.622182803,-4.626701355
-5.149660462,-5.153334141
-5.50016531,-5.501935482
-5.076840572,-5.071737289
-4.545913833,-4.55225563
-5.682847868,-5.677442074
-5.110409352,-5.132694244
-3.953776728,-3.956080437
-4.750329635,-4.747434139
-3.806937908,-3.812907457
-4.37028909,-4.364270687
-4.280739933,-4.27813673
-3.949505739,-3.950683832
-4.754240597,-4.753161907
-4.392427188,-4.397740841
-4.762089011,-4.761061668
-4.729317995,-4.727758408
-5.148425265,-5.150073528
-3.693195379,-3.696893454
-5.30932595,-5.302590847
-4.927931465,-4.920698643
-3.741535697,-3.740419149
-4.696102581,-4.695685863
-4.641452246,-4.636038303
-4.639751836,-4.645938873
-4.567770895,-4.575294495
-4.764834142,-4.765248775
-4.719802646,-4.725908756
-5.235457389,-5.240661144
-5.748678943,-5.744957447
-4.760620137,-4.760298729
-4.743675786,-4.742638111
-4.330178429,-4.337242603
-5.256111225,-5.260302067
-4.786296653,-4.78673172
-4.595934681,-4.595738888
-4.52250356,-4.526018143
-3.812465859,-3.81962347
-4.055104595,-4.059720516
-4.875074232,-4.877719879
-4.78379179,-4.782310009
-4.756013312,-4.75621891
-4.453173109,-4.456246376
-4.80314363,-4.802453518
-4.674098879,-4.677061081
-4.782587853,-4.783797741
-4.174818112,-4.175273418
-4.784312274,-4.78387785
-4.663927679,-4.671041965
-4.95609382,-4.962939739
-4.920578736,-4.926645756
-5.090993727,-5.096908092
-4.599368129,-4.610875607
-5.092761742,-5.084607601
-4.257853325,-4.260937214
-4.597991109,-4.598771572
-4.768233553,-4.768415928
-4.796729192,-4.79793644
-4.759042689,-4.758082867
-4.598395553,-4.601346493
-4.768904877,-4.76777935
-5.702832618,-5.694601536
-4.636462392,-4.633937359
-3.935276081,-3.936206102
-3.755251822,-3.759041309
-4.674299,-4.672445297
-4.787214206,-4.786985874
-5.90875813,-5.904213428
-4.68080488,-4.677719116
-5.154857446,-5.156929493
-3.853589951,-3.855707645
-4.441150518,-4.447235584
-4.64094377,-4.648403645
-4.794880969,-4.794643879
-4.61095896,-4.614702702
-4.608818468,-4.607778549
-4.173102297,-4.173873425
-4.55443945,-4.554672718
-4.778127074,-4.778339863
-4.89151563,-4.897048473
-4.457147502,-4.456943035
-4.655676589,-4.663308144
-4.544909343,-4.555899143
-5.65740472,-5.664340496
-5.064127267,-5.0592103
-4.68589609,-4.685526848
-4.461964718,-4.465578556
-5.084026025,-5.066046238
-4.497611118,-4.500565529
-4.656351565,-4.655406475
-4.764816423,-4.764561653
