index,DFT,TinNet
639,-2.5480137,-2.6088347
567,-4.773226,-4.7533355
45,-3.9334846,-3.9283185
183,-2.4410477,-2.43273
423,-2.5798457,-2.632141
636,-2.1120777,-2.0574443
329,-1.4893526,-1.4466511
637,-2.2369065,-2.3185246
381,-2.6045206,-2.6244023
712,-4.6280317,-4.550606
244,-2.6107967,-2.5685294
206,-2.9319866,-2.9073665
86,-3.7093155,-3.7112432
182,-1.8355956,-1.8301494
571,-3.0951927,-3.132957
349,-2.3824625,-2.3630955
395,-2.5170426,-2.4990273
597,-2.6141486,-2.6383913
136,-2.5423367,-2.5684905
286,-2.3122168,-2.3357852
569,-2.8622715,-2.8943858
294,-2.4932666,-2.5207329
304,-2.7616887,-2.7889285
215,-2.7186167,-2.7726796
491,-2.9932277,-3.003649
81,-3.6356215,-3.589863
688,-1.8815626,-1.9220549
618,-3.0164585,-3.05337
737,-1.9402066,-1.9853475
218,-4.4428926,-4.386066
339,-3.5084558,-3.4486141
190,-2.6729717,-2.7612548
459,-2.7204986,-2.7594187
444,-1.8700956,-1.842195
94,-1.4663227,-1.518958
464,-2.9681556,-3.0134952
135,-2.0076127,-1.9651916
28,-1.5448066,-1.5676404
84,-2.2822976,-2.2704728
615,-2.9513476,-2.9788258
467,-1.8588816,-1.8654118
240,-1.5629896,-1.5691518
542,-2.4497166,-2.4449184
332,-2.2767005,-2.297519
272,-2.0145545,-2.017472
379,-1.2891016,-1.267139
692,-1.5034397,-1.5074307
85,-2.0174227,-2.07121
460,-3.3191895,-3.3728662
124,-3.7697756,-3.7195427
57,-3.0141187,-2.932823
645,-2.2708745,-2.2492914
573,-3.1384437,-3.0787764
511,-2.8032987,-2.7973857
58,-3.1924245,-3.2016685
500,-2.0207367,-1.9914358
227,-1.7426816,-1.700082
270,-4.5422955,-4.4388
254,-3.6019998,-3.5550866
60,-2.3832567,-2.3898754
296,-2.5744486,-2.5804431
22,-2.4282496,-2.3950355
175,-5.7705574,-5.8508034
316,-1.4728216,-1.4836234
669,-2.4756637,-2.389831
447,-2.0642605,-2.0262742
517,-3.6356106,-3.4776459
52,-1.7630286,-1.8448505
492,-1.8708426,-1.9069872
267,-1.9409937,-1.9175069
33,-2.5300097,-2.5365047
258,-2.1238055,-2.0970023
431,-2.8478756,-2.873276
608,-2.6071796,-2.6060596
74,-2.4452567,-2.4210753
557,-2.5616956,-2.5531838
724,-3.7559946,-3.6681142
427,-1.8347636,-1.8724582
320,-2.4182446,-2.4376128
432,-2.4151785,-2.4512541
181,-2.2954855,-2.3286004
0,-1.9407326,-1.9211637
233,-1.9258106,-1.9695367
105,-1.9724777,-2.0092738
147,-1.8624697,-2.0509121
400,-2.8582835,-2.8823133
331,-2.2539856,-2.3677897
199,-2.2958837,-2.3119676
48,-2.8672717,-2.8449342
283,-1.9464526,-1.9019853
71,-2.0716796,-2.0744355
657,-2.6240356,-2.6425061
445,-2.3525536,-2.3370223
671,-4.0992584,-4.0195365
88,-2.0319026,-2.0669954
200,-2.5041876,-2.4843528
126,-1.8910586,-1.919089
49,-2.4632676,-2.5065262
383,-2.5096285,-2.5327904
670,-2.5742056,-2.6122873
594,-2.1613607,-2.171526
530,-2.4271386,-2.4607
123,-4.2273197,-4.17689
106,-4.3359585,-4.254929
238,-5.030304,-4.9904013
564,-2.8158906,-2.7874327
727,-3.1383617,-3.1301527
249,-2.0495327,-2.0242462
741,-2.3107977,-2.3197317
449,-3.3509007,-3.2727916
683,-2.1904335,-2.1122591
396,-2.3598726,-2.369416
682,-3.2114925,-3.1249328
626,-2.5824256,-2.5664039
98,-2.3343077,-2.4061818
355,-3.1819725,-3.1798637
585,-2.0953307,-2.126724
353,-2.7167666,-2.7666514
142,-2.5681376,-2.5844378
451,-3.1654327,-3.1840227
678,-1.9686656,-1.9076643
287,-0.9855896,-1.0306127
340,-1.9811206,-1.9917886
680,-2.2271075,-2.1657977
513,-1.9710306,-1.9571136
289,-2.5035305,-2.3510604
77,-2.7916727,-2.8383217
188,-1.4304336,-1.4141393
540,-2.6926577,-2.5629983
728,-2.0759256,-2.071641
558,-2.2796075,-2.3342793
284,-1.9677186,-1.9443853
256,-1.4609876,-1.4360135
18,-2.0142996,-2.0082119
104,-2.2865705,-2.2916374
2,-1.7915106,-1.82856
621,-3.8435345,-3.8001978
41,-1.6738826,-1.6583962
628,-1.9797137,-1.9553779
647,-3.8918686,-3.820867
426,-1.4709276,-1.5223643
602,-4.156893,-4.1318808
103,-1.8777806,-1.8677502
596,-3.1484666,-3.1047232
568,-2.6290796,-2.7370749
114,-2.5532947,-2.5892763
290,-1.4667217,-1.4583496
641,-2.4318876,-2.416761
157,-2.8614316,-2.919187
234,-3.4031405,-3.3959134
523,-1.7824386,-1.7650181
425,-2.0263057,-2.0370474
499,-2.3500257,-2.393864
246,-1.6544147,-1.667912
209,-2.1340077,-2.1170542
303,-2.4972117,-2.5174656
581,-1.9509686,-1.9447038
42,-2.4725316,-2.4042833
150,-1.5534437,-1.5502651
325,-3.0021045,-3.0156147
603,-3.3382916,-3.299589
440,-2.6426206,-2.7375076
225,-3.7324557,-3.7515116
279,-1.8766826,-1.9119796
164,-2.4038815,-2.409068
399,-3.9779677,-3.9389737
151,-3.0398536,-3.046115
189,-1.6295316,-1.6525764
37,-2.5061426,-2.5154502
312,-2.3235035,-2.34479
53,-1.6382486,-1.6156214
550,-4.3450255,-4.2274218
695,-3.5108976,-3.504229
477,-3.0760987,-3.0933435
148,-3.9038026,-3.8272557
674,-1.9727026,-1.9944482
5,-2.0698407,-2.0443518
466,-2.0366745,-2.029749
468,-2.0715287,-2.058789
362,-2.3084886,-2.3200436
97,-1.9443007,-1.9574087
588,-2.4862967,-2.4401104
61,-4.603358,-4.533267
152,-1.8647766,-1.9085559
255,-2.0163956,-2.0383375
572,-2.1116235,-2.1150208
242,-2.1508765,-2.1314578
508,-3.7422147,-3.696755
656,-2.4513166,-2.45024
210,-4.6161604,-4.631777
324,-3.1117806,-3.1142185
351,-3.5262117,-3.463975
180,-1.4589527,-1.5049778
352,-2.1825626,-2.1530461
257,-2.3368037,-2.3540633
217,-4.3581247,-4.28864
275,-2.6338377,-2.7222319
125,-2.1098187,-2.0848877
502,-2.1427016,-2.1157446
668,-1.9206356,-1.9181181
247,-2.7342887,-2.7517605
666,-1.8376917,-1.8667811
684,-3.2011187,-3.1976604
421,-2.4754605,-2.547398
415,-2.0339217,-1.9805145
195,-2.7996025,-2.8659403
516,-2.6270757,-2.6266613
292,-4.180278,-4.215095
8,-2.0357795,-2.093652
47,-1.4549946,-1.5153273
70,-2.0420017,-2.0547552
510,-3.5729706,-3.5286431
504,-2.1924577,-2.152743
723,-3.1399605,-3.176918
739,-4.0533104,-4.067486
532,-3.2227907,-3.2072132
338,-1.7484286,-1.7492048
354,-3.3814676,-3.3722038
590,-1.2497376,-1.2987943
261,-2.1742456,-2.200367
54,-2.3476305,-2.335555
220,-2.4228556,-2.4116879
631,-2.4706886,-2.4544883
677,-2.0350485,-2.0110316
438,-1.8327407,-1.841079
314,-2.5713005,-2.5814557
174,-2.2442696,-2.1970682
479,-1.5291926,-1.5008308
194,-2.2976527,-2.3258543
346,-1.8534036,-1.8851597
51,-1.6388656,-1.663528
706,-4.1424875,-4.0766163
334,-2.6026106,-2.6491423
156,-2.0536327,-2.041902
382,-2.4491506,-2.4989908
44,-2.6314776,-2.6439726
139,-2.6998975,-2.7535021
703,-2.3040535,-2.3404455
66,-2.1952517,-2.2311265
625,-2.9343066,-2.971303
539,-1.9880776,-1.9975024
253,-5.391699,-5.417827
158,-3.8269515,-3.7565765
622,-2.8258996,-2.9001362
357,-2.5689635,-2.5763364
493,-2.0622005,-2.061442
660,-1.4292376,-1.439866
638,-1.9335647,-1.939007
629,-2.4283867,-2.4395194
745,-2.0811567,-2.13209
228,-2.0492597,-2.024211
403,-1.4556096,-1.4779103
389,-1.4111086,-1.4054191
146,-3.8771596,-3.804678
422,-1.3354346,-1.3564359
536,-2.7588925,-2.7808313
348,-1.9368796,-1.9174745
204,-2.0031395,-1.9876407
368,-1.4240816,-1.4262184
131,-2.3832047,-2.378202
514,-2.2696176,-2.2301755
661,-2.0363317,-2.0022388
19,-3.5050786,-3.4021134
116,-2.6134057,-2.6112144
520,-2.6683176,-2.645602
273,-3.2408857,-3.1888804
599,-2.0840497,-2.0270674
39,-1.5239016,-1.5621929
659,-2.4812877,-2.4610589
130,-2.6043816,-2.653252
717,-1.9848566,-1.9889934
457,-3.4088097,-3.4255593
162,-2.5413406,-2.5071166
441,-4.11359,-4.0426445
17,-1.8431606,-1.8228357
408,-3.2817397,-3.2940676
133,-2.7680225,-2.767954
59,-1.1508026,-1.1645423
120,-1.8460736,-1.897052
696,-4.5316467,-4.4546285
96,-3.5929515,-3.5487628
384,-2.8021555,-2.8698244
317,-1.3272936,-1.3164008
307,-1.8733187,-1.9845847
482,-2.7080286,-2.717324
40,-2.0320325,-2.0100262
219,-2.3937206,-2.3861616
25,-4.0937138,-4.039674
226,-2.3908997,-2.3882544
